货物发送流程描述如下：

1. **流程启动**：当需要发送货物时，流程启动。

2. **并行处理**：流程分为两条并行路径：
   - **货物包装**：
     - 由Lagerarbeiter负责包装货物。
     - 包装完成后，Lagerarbeiter将货物和相关运输文件准备完毕，以便交给物流公司或快递公司。
   - **物流安排**：
     - 由Logistikleiter首先确定货物的数量和价值。
     - 根据货物数量或价值的大小，决定是否需要从物流公司获取报价：
       - 如果是大数量或高价值，则Logistikleiter会从物流公司获取报价，并选择最优惠的报价后下单。
       - 如果是小数量或低价值，则直接由Logistikleiter创建运单。

3. **运输文件处理**：由Logistikleiter完成运输文件的创建工作。

4. **货物交货**：Lagerarbeiter将准备好的货物和相关运输文件交给物流公司或快递公司，完成货物的发送。

整个流程涉及Logistikleiter、Sekretariat和Lagerarbeiter三个角色，确保货物能够顺利发送。
